author,review,rating,vote_count,date,reply
b'Sah Rizal Salleh',"b'Learnt of this through the Monaliza YT Channel, been really helpful. The audio works great, the lettering sizes suits most age groups. Though, sometimes the color scheme makes the read quite difficult especially with several tajwid marks group together.'",b'Rated 5 stars out of five stars',b'6',"b'May 19, 2020'",b''
b'Md Yusuf',"b'The most user friendly Quran app with tajweed markings, tafsir and audio. Extremely useful for us all to learn the proper recitation. May we all benefit from this amazing app. Barakallahu fiikum'",b'Rated 5 stars out of five stars',b'3',"b'May 29, 2020'",b''
b'Azim Azhan',"b""too much bug on android 10 (Note 10+) , can't even access the homepage but the content is good.""",b'Rated 5 stars out of five stars',b'3',"b'May 26, 2020'",b''
b'Nursyazni Sulaiman',b'Alhamdulillah best al quran app ever. Extremely suitable for Malaysians. I love how they guide us word by word with the meaning and tajwid. Totally recommended! Thank you apps builder.',b'Rated 5 stars out of five stars',b'12',"b'May 15, 2020'",b''
b'Zainudin Muhamad',b'I simply like it. Easy handling and readers friendly',b'Rated 4 stars out of five stars',b'1',"b'May 25, 2020'",b''
b'Hazimah Rosle',"b""The best AlQuran app i've ever used! It tracks your reading. Reminder to read quran daily. Can make notes. And a lot other good stuff!""",b'Rated 5 stars out of five stars',b'6',"b'May 16, 2020'",b''
b'SOA Nano',"b""Where are to cancel subscription? Not full options of apps.... Sorry to says.... Azan? Mark of Solat? Mark of fastin'? Others functions?.....only tajwid that u have.... Big small fonts is just like others apps.... But I really dissapointed I can't cancel my subscription's..... which are I had alread...\nFull Review""",b'Rated 1 stars out of five stars',b'35',"b'April 30, 2020'","b'Trizen Technology SolutionsMay 2, 2020\nWaalaikumsalam, tidak perlu batalkan ""subscription"" pun tuan, sebab naik taraf ke premium di aplikasi Tilawah Malaysia hanya perlu bayar sekali sahaja seumur hidup berbeza dengan aplikasi lain yang perlu bayar setiap tahun atau bulan.'"
b'Nan AM',"b'App is good but unable to create account. Always show ""unexpected error"" message. Hope admin can rectify the issue.'",b'Rated 5 stars out of five stars',b'25',"b'May 1, 2020'","b'Trizen Technology SolutionsMay 20, 2020\nDah baiki tuan. Masalah sebab username dah guna kat orang lain.'"
b'Hazim Daud',"b'User friendly interface, no ads, and many good interface i.e tajwid recital for ayat, note and bookmark.'",b'Rated 5 stars out of five stars',b'32',"b'April 30, 2020'",b''
b'Ace Andy Mirza',b'No advertisements. Very clear and easy to use. Alhamdulillah.',b'Rated 5 stars out of five stars',b'7',"b'May 11, 2020'",b''
b'Azhari Dahli',b'Very easy to read and Arabic Dan translate',b'Rated 5 stars out of five stars',b'1',"b'May 28, 2020'",b''
b'Mas Suzila',b'Another alternative to read alquran even we are outdoor. And it is easier to us. I love it. Thankyou',b'Rated 5 stars out of five stars',b'31',"b'May 1, 2020'",b''
b'norwan ahmad',b'The apps is easy to use and contain many useful features',b'Rated 5 stars out of five stars',b'1',"b'May 28, 2020'",b''
b'Farhana shariff',b'very good apps. easy and convenient.. with tajwid and clear wording..',b'Rated 5 stars out of five stars',b'5',"b'April 30, 2020'",b''
"b""Nik Badrul Azahar Nik Ja'afar""",b'A vety good App. No advertising and the words size can be increased... Really suit me... Org semakin meningkat usia.. \xf0\x9f\x98\x81',b'Rated 5 stars out of five stars',b'3',"b'May 1, 2020'",b''
b'Nik Farah Amalina',"b'No ads, user-friendly, nice features. 11/10\xf0\x9f\x8c\x9f'",b'Rated 5 stars out of five stars',b'4',"b'April 30, 2020'",b''
b'Lym',b'The best for those who want to learn about tajwid and more..no ads..easy to use\xe2\x9c\xa8 Totally worth it',b'Rated 5 stars out of five stars',b'1',"b'May 6, 2020'",b''
b'Nor Syahirah Mohamed Nasrudin',b'Nice and easy apps without the ads. Tq for this awesome app!',b'Rated 5 stars out of five stars',b'38',"b'April 28, 2020'",b''
